127.0.0.1 - - [25/Jan/2022:17:50:24 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:26 +0900] "GET /basicJSP/bean/quiz01.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:34 +0900] "GET /basicJSP/bean/quiz02.jsp?id=222&pw=2222&pwcheck=2222&name=2222 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:34 +0900] "GET /basicJSP/bean/quiz04.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:36 +0900] "GET /basicJSP/bean/quiz01.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:40 +0900] "GET /basicJSP/bean/quiz02.jsp?id=222&pw=222&pwcheck=222&name=2222 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:40 +0900] "GET /basicJSP/bean/quiz04.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:50:45 +0900] "GET /basicJSP/bean/quiz01.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:51:00 +0900] "GET /basicJSP/bean/quiz02.jsp?id=123&pw=123&pwcheck=123&name=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:51:00 +0900] "GET /basicJSP/bean/quiz04.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:51:29 +0900] "GET /basicJSP/bean/quiz01.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:51:33 +0900] "GET /basicJSP/bean/quiz02.jsp?id=123&pw=123&pwcheck=123&name=123 HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:52:51 +0900] "GET /basicJSP/bean/quiz01.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [25/Jan/2022:17:52:57 +0900] "GET /basicJSP/bean/quiz02.jsp?id=hayun&pw=123&pwcheck=123&name=%EC%97%84%ED%95%98%EC%9C%A4 HTTP/1.1" 200 308
